,XGBoost
48,0.0
49,0.03076083
50,0.010010921
51,0.000728067
52,0.036221333
53,0.0
54,0.0003640335
55,0.0
56,0.0
57,0.0023662178
58,0.0009100837
59,0.0010921005
60,0.014197306
,XGBoost
0,0.05729264
1,0.02190601
2,0.028833551
3,0.020408163
4,0.026961243
5,0.025088934
6,0.0014978468
7,0.01535293
8,0.007489234
9,0.0018723086
10,0.027335705
11,0.017974162
12,0.025650628
13,0.042126942
14,0.0016850777
15,0.027335705
16,0.018723086
17,0.045497097
18,0.021157086
19,0.028084628
20,0.022467703
21,0.020408163
22,0.017974162
23,0.020220932
24,0.029956937
25,0.022467703
26,0.019846471
27,0.0058041564
28,0.021157086
29,0.008238157
30,0.008050927
31,0.01722524
32,0.0069275415
33,0.0007489234
34,0.02864632
35,0.05935218
36,0.042501405
37,0.031454783
38,0.005991387
39,0.055982027
40,0.00018723085
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.030893091
50,0.010110466
51,0.0003744617
52,0.033139862
53,0.0
54,0.0
55,0.0
56,0.0
57,0.001310616
58,0.0003744617
59,0.005242464
60,0.010672159
,XGBoost
0,0.04424944
1,0.029499626
2,0.022218073
3,0.023711726
4,0.025018672
5,0.03472741
6,0.0020537714
7,0.013816281
8,0.008588498
9,0.00373413
10,0.030059746
11,0.026512323
12,0.03099328
13,0.041262135
14,0.0031740104
15,0.023338312
16,0.023711726
17,0.031740103
18,0.020164302
19,0.030246453
20,0.023525018
21,0.023525018
22,0.013816281
23,0.01755041
24,0.023338312
25,0.01867065
26,0.01867065
27,0.008215086
28,0.019044062
29,0.012696042
30,0.00802838
31,0.01549664
32,0.007841673
33,0.0005601195
34,0.026699029
35,0.05862584
36,0.041822255
37,0.039768483
38,0.006348021
39,0.045369677
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.03304705
50,0.014563107
51,0.001120239
52,0.037714712
53,0.0009335325
54,0.0
55,0.0
56,0.0
57,0.001120239
58,0.0005601195
59,0.0020537714
60,0.010455564
,XGBoost
0,0.039350625
1,0.027351333
2,0.02611611
3,0.023822129
4,0.022233985
5,0.022233985
6,0.002646903
7,0.013410976
8,0.006881948
9,0.0028233633
10,0.028586553
11,0.022939827
12,0.023998588
13,0.044820894
14,0.0019410623
15,0.023469208
16,0.026998412
17,0.04217399
18,0.02558673
19,0.03423328
20,0.024527969
21,0.021528145
22,0.020292925
23,0.019587083
24,0.02664549
25,0.023292748
26,0.0181754
27,0.00882301
28,0.02435151
29,0.007058408
30,0.009881772
31,0.01588142
32,0.005823187
33,0.000882301
34,0.02611611
35,0.05805541
36,0.041115228
37,0.034586202
38,0.00829363
39,0.046585497
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.027704252
50,0.01711664
51,0.000882301
52,0.035821423
53,0.0003529204
54,0.0001764602
55,0.0
56,0.0
57,0.0007058408
58,0.0001764602
59,0.0028233633
60,0.011116993
,XGBoost
0,0.044903133
1,0.021908384
2,0.022270504
3,0.021908384
4,0.019916711
5,0.028245518
6,0.0010863661
7,0.01611443
8,0.008690929
9,0.0036212204
10,0.02480536
11,0.029512946
12,0.024262177
13,0.036574326
14,0.0043454645
15,0.02480536
16,0.029875068
17,0.040376607
18,0.021546261
19,0.027702335
20,0.018468224
21,0.023900054
22,0.023537932
23,0.022451567
24,0.025167482
25,0.027340213
26,0.018830346
27,0.007966685
28,0.0246243
29,0.008328807
30,0.009596234
31,0.012674271
32,0.0072424407
33,0.00072424405
34,0.026978092
35,0.054499365
36,0.04435995
37,0.043273583
38,0.008328807
39,0.045627378
40,0.0
41,0.0
42,0.0
43,0.0
44,0.00018106101
45,0.0
46,0.0
47,0.0
48,0.0
49,0.029875068
50,0.017200796
51,0.00018106101
52,0.033496287
53,0.0009053051
54,0.0
55,0.0
56,0.0
57,0.00036212202
58,0.00036212202
59,0.0027159152
60,0.008328807
,XGBoost
0,0.041544657
1,0.024707174
2,0.03202782
3,0.020131772
4,0.02672035
5,0.024707174
6,0.0027452416
7,0.013543191
8,0.009699853
9,0.0038433382
10,0.022510981
11,0.017569546
12,0.025622254
13,0.03806735
14,0.00091508054
15,0.027818449
16,0.025988286
17,0.03330893
18,0.01976574
19,0.034407027
20,0.024707174
21,0.022877013
22,0.021046853
23,0.017935578
24,0.032210834
25,0.023792094
26,0.019399706
27,0.0071376283
28,0.02489019
29,0.008052709
30,0.008052709
31,0.024707174
32,0.008601757
33,0.0001830161
34,0.028001465
35,0.053623717
36,0.043923866
37,0.04008053
38,0.008052709
39,0.041544657
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.030380674
50,0.013177159
51,0.0005490483
52,0.032210834
53,0.0010980966
54,0.0005490483
55,0.0
56,0.0
57,0.0012811128
58,0.00091508054
59,0.0025622256
60,0.012811127
,XGBoost
0,0.047808766
1,0.030967042
2,0.024085477
3,0.023361102
4,0.019739226
5,0.02662079
6,0.0018109381
7,0.019739226
8,0.011227816
9,0.003984064
10,0.021006882
11,0.020644695
12,0.020644695
13,0.040565014
14,0.0021731257
15,0.024809852
16,0.022636726
17,0.042375952
18,0.028431728
19,0.026982978
20,0.022455633
21,0.029880479
22,0.017203912
23,0.021187976
24,0.025534227
25,0.022274539
26,0.01992032
27,0.0043462515
28,0.018471569
29,0.0072437525
30,0.002897501
31,0.018652663
32,0.0070626587
33,0.00054328144
34,0.028250635
35,0.05939877
36,0.043462515
37,0.03658095
38,0.008330315
39,0.047808766
40,0.0
41,0.0
42,0.0
43,0.0
44,0.00018109381
45,0.0
46,0.0
47,0.0
48,0.0
49,0.028793916
50,0.015936255
51,0.0
52,0.036218762
53,0.00018109381
54,0.00054328144
55,0.0
56,0.0
57,0.00090546906
58,0.0010865629
59,0.002897501
60,0.012133285
,XGBoost
0,0.043136537
1,0.027051728
2,0.03673917
3,0.022299398
4,0.03015902
5,0.038018644
6,0.004386767
7,0.0040212027
8,0.006762932
9,0.0020106013
10,0.021202706
11,0.018643757
12,0.013891428
13,0.036190823
14,0.0042039845
15,0.027051728
16,0.020471577
17,0.04441601
18,0.019192103
19,0.018095411
20,0.036190823
21,0.030707367
22,0.025041126
23,0.021202706
24,0.019374887
25,0.029610675
26,0.010784134
27,0.009687443
28,0.019374887
29,0.0053006765
30,0.006397368
31,0.02266496
32,0.014988119
33,0.0010966917
34,0.027782856
35,0.06232864
36,0.034180224
37,0.036190823
38,0.010235788
39,0.04989947
40,0.0
41,0.00018278194
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.032352403
50,0.012794736
51,0.00018278194
52,0.026320599
53,0.00018278194
54,0.00036556387
55,0.0
56,0.0
57,0.0054834583
58,0.00036556387
59,0.0065801498
60,0.0042039845
,XGBoost
0,0.051574875
1,0.026892614
2,0.027629398
3,0.021182539
4,0.021550931
5,0.039049547
6,0.0022103519
7,0.012525327
8,0.0090256035
9,0.0034997237
10,0.022656105
11,0.020998342
12,0.026708419
13,0.038312763
14,0.0027629398
15,0.029287161
16,0.019893166
17,0.048443545
18,0.016577639
19,0.02615583
20,0.017498618
21,0.019524774
22,0.018235402
23,0.020077363
24,0.028181985
25,0.022103518
26,0.021919321
27,0.009578191
28,0.024682261
29,0.007552035
30,0.008657211
31,0.01970897
32,0.0071836435
33,0.00073678396
34,0.026892614
35,0.05875852
36,0.043470252
37,0.03260269
38,0.0066310554
39,0.038865354
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
