,GradientBoostingClassifier
2,0.02202999589248556
3,0.017513153304326914
4,0.029172690387483397
5,0.021206315154619588
6,0.0011104601362670905
7,0.007646799913827051
8,0.009234720674285301
9,0.0038548097733285243
10,0.021343998731485368
11,0.01597460653533391
12,0.022043834806017317
13,0.018942056789042355
14,0.00012541603075384518
15,0.022674850742342635
16,0.019098343516417923
17,0.025452870353140894
18,0.020275289855602462
19,0.024860250032785282
20,0.016027847791280952
21,0.02286856420702167
22,0.020297692906730305
23,0.018310866097664746
24,0.023628156878997005
25,0.021340228693583176
26,0.025264845896580537
27,0.002361742621873807
28,0.008490612905356302
29,0.005801271426807279
30,0.0054832710113671594
31,0.009946906467395435
32,0.0074086815441317235
33,0.003816677331526093
34,0.09634396814417993
35,0.05328528825723503
36,0.05256470790071248
37,0.039579262150119664
38,0.017535052663512313
39,0.040136128650142024
40,1.9847284808604562e-05
41,0.000692698591113108
42,0.0
43,0.0005460698738858977
44,3.2875718830168105e-05
45,2.0984400824158272e-05
46,0.0011847049121519362
47,0.004514693516496715
48,0.00022736671143562895
49,0.06050292441192523
50,0.010724872268271731
51,0.0010023266087053285
52,0.04155230667681115
53,0.0008445678324894929
54,0.0009214955365454448
55,2.1685077527786433e-06
56,1.371219340525255e-07
57,0.003010827020506081
58,0.0015457032644511338
59,0.005131241506471952
60,0.014298344646246337
,GradientBoostingClassifier
0,0.03082891988308643
1,0.014364820223546721
2,0.019919070646781563
3,0.015334609313947168
4,0.020949926861693217
5,0.019033360601717994
6,0.003559165297322182
7,0.005612850511192064
8,0.0154403335295201
9,0.00435952469694199
10,0.019628649788252062
11,0.01641589345124381
12,0.01655643831852638
13,0.019913117779055307
14,0.0017642522060691763
15,0.026007406027187624
16,0.020814997351768453
17,0.0265957531040882
18,0.029949976771100714
19,0.02315790901257561
20,0.024150082439261065
21,0.02290129709191266
22,0.0199823668581848
23,0.01744888421230497
24,0.02606677072108485
25,0.01692398819393413
26,0.03555580435022867
27,0.002836563800660174
28,0.011280666306510081
29,0.00824968288033654
30,0.00741695265417063
31,0.012466106644699514
32,0.0088158773117106
33,0.001792158084187549
34,0.08526263097690912
35,0.06310947273482764
36,0.05557237806831427
37,0.039864970180751316
38,0.019280786272973055
39,0.037999268029498275
40,0.00019863476654815408
41,0.0006819546374079249
42,0.0
43,0.0
44,0.0035566986949962178
45,1.5080221262530179e-05
46,0.0007822260226052122
47,0.0017317510718981581
48,0.0
49,0.0509828160822438
50,0.011956801347740239
51,0.002522565069900128
52,0.036427245595940946
53,0.0006711756242557402
54,0.0029045307436544408
