,RandomForestClassifier
36,0.050560224768468894
37,0.03996863556493645
38,0.020793006524225843
39,0.04567916483959346
40,0.0014388185241801276
41,0.0010216501659407122
42,9.225091803735003e-05
43,0.0005895721131604784
44,0.003758396201303109
45,0.0011417649442783178
46,0.0008192490176007035
47,0.0020036258042913048
48,0.00019436400383785818
49,0.060651015062902804
50,0.01275336869067149
51,0.0020831077125461114
52,0.029920715601583475
53,0.0013842218563818692
54,0.0035948327770942345
55,0.0003788653276226218
56,0.00020200141318247453
57,0.003665976600347046
58,0.0012138083327001275
59,0.004386685651267672
60,0.01712310737979808
,RandomForestClassifier
0,0.033012514736455244
1,0.02218830487386124
2,0.019532613554805837
3,0.01983465753814032
4,0.024824397008097153
5,0.022953257572048996
6,0.0039430490667820076
7,0.00723524631188429
8,0.011973027408609782
9,0.008655826857691479
10,0.02104065626315185
11,0.018023461119733762
12,0.018255876651007787
13,0.02275980727606749
14,0.0024258826942392293
15,0.028039479445130723
16,0.022310693382533553
17,0.02648448733016295
18,0.02357781414454019
19,0.023785687433163324
20,0.023303371343555344
21,0.020512112620749576
22,0.024702235021720868
23,0.017720245345310623
24,0.021441224059507706
25,0.02069793055033966
26,0.022972613065219808
27,0.00460608940324992
28,0.01246013168628303
29,0.010080056715900572
30,0.007908845962146941
31,0.010930303376148316
32,0.01050493574405948
33,0.002740782230337169
34,0.055218391456124574
35,0.05528009052021845
36,0.041841244171080094
37,0.03790944413181153
38,0.01792083714941427
39,0.0363705345220123
40,0.005815478820928164
41,0.002565367825716911
42,1.0419280461332228e-05
43,0.0003883943844856891
44,0.0028980605397567485
45,0.0009345657538836663
46,0.0015422688503782442
47,0.0023326962952021513
48,0.00040477403979548326
49,0.06416539292109871
50,0.016394851871550237
51,0.0015437905065519106
52,0.03918811420472608
53,0.0021011942460405168
54,0.002495066918961991
55,0.00026995412353289717
56,0.00022719500927084225
57,0.0038477446054403495
58,0.0017370480670881783
59,0.005296474882512484
60,0.009862987109319888
,RandomForestClassifier
0,0.030800432924919584
1,0.02087444538173635
2,0.020609668647403503
3,0.018001360345635535
4,0.021400802781939388
5,0.022184701774376325
6,0.0033624745075024496
7,0.009576402508794702
8,0.013663877357050784
9,0.007306601488461507
10,0.020751601045387928
11,0.02110819181952686
12,0.019422748914980935
13,0.026766427991461908
14,0.0027340727130155977
15,0.026801013190812264
16,0.023051331477263973
17,0.029468198660539405
18,0.023374120085605462
19,0.022385257884075766
20,0.020683331591350516
21,0.02420008202627328
22,0.022869232463274037
23,0.01556257675444437
24,0.020828769178218094
25,0.02019141428314805
26,0.02057113646249847
27,0.0031865000758418303
28,0.011792917709445714
